interaction_id,item_id,user_id,type,value,timestamp
d126cdd1-9440-4074-950e-a23f368b3233,event74,user1,dislike,1,2023-02-11 18:02:54.163727
8d440bb4-7af7-4799-a2e7-ac71eeb959f4,event20,user1,add_to_basket,1,2023-08-21 03:12:30.687147
cced9d6b-4348-4d08-9997-3c282354089a,event89,user1,like,1,2023-08-08 09:05:23.152262
ad7ea3c5-350c-4428-bd80-9e28456ef043,event74,user7,skip,1,2023-09-03 05:45:25.999337
2f887c09-c9e2-4875-a8ad-a5b3abc8e2ca,event20,user7,view,1,2024-06-17 05:20:57.876249
dca5a404-a31d-4e11-b94c-48e933c54147,event89,user7,click,1,2022-10-04 11:25:07.368749
2edf5964-1514-4683-9cda-cdb0041f0d54,event74,user9,add_to_basket,1,2023-07-07 08:22:43.578570
588318d7-4e28-4d8a-aa7d-aaea61b55925,event20,user9,duration,1,2023-07-27 21:26:06.721687
f8ffdfd5-b926-4121-9b14-f482700f9d4d,event89,user9,like,1,2024-05-09 15:51:28.910048
38159ace-b873-420c-a3de-efe6cc23650c,event74,user12,dislike,1,2023-03-28 11:16:36.372232
8d719e73-86db-4b4f-955f-6b554d579b7b,event20,user12,duration,1,2023-10-02 02:34:34.290965
f403196f-4079-4ef3-b740-e69e92f378bc,event89,user12,click,1,2023-02-05 10:51:34.131330
e22aecc5-fad4-4a50-9355-9dfdcea4760b,event74,user28,add_to_basket,1,2023-08-16 13:00:45.369331
1897ef31-1570-4fce-84bb-ea1854f17ff5,event20,user28,purchase,1,2024-08-04 21:09:36.438580
0425c5c8-65cb-4844-84d3-4bc3f56a0f3e,event89,user28,attended,1,2023-04-14 15:24:38.983566
80877e0d-123d-4992-9811-5c6bb522712c,event74,user31,dislike,1,2024-06-20 08:38:23.308463
15f85e6d-b0c6-49bc-b016-cb3ed13b3508,event20,user31,attended,1,2023-03-24 21:23:29.202488
e2ab809b-1882-430a-bc3d-9868bbc96e92,event89,user31,skip,1,2023-03-20 19:03:02.133734
96ab42e5-68ef-405a-9c73-4a44fe772e7e,event74,user40,skip,1,2023-01-26 23:45:15.512286
50ff4c5a-3d5a-42b0-9591-4ef8428c9254,event20,user40,click,1,2023-11-14 13:23:07.546718
dabd2681-6498-49c3-95f7-5d65a54e3a4a,event89,user40,like,1,2023-12-19 07:58:27.798461
b45f659a-c719-4a98-b224-16415929c2ce,event74,user47,duration,1,2022-11-10 19:27:28.940840
c9afe22c-213b-4154-b457-405ae959114f,event20,user47,dislike,1,2023-04-01 15:39:41.035459
132bcd43-9524-4f06-ab99-f3192165da9c,event89,user47,purchase,1,2022-09-20 23:13:56.165164
cddd87eb-2af6-405d-9e97-b3c8d9b54455,event74,user56,attended,1,2023-04-29 04:17:19.040173
600a67b0-3e3c-47e6-8c69-98c34659db74,event20,user56,purchase,1,2023-03-25 13:55:39.818389
07c7ebaf-4294-406f-b999-e60a6412ad03,event89,user56,skip,1,2024-04-05 09:34:21.115825
5e87f7cd-6fd1-42bb-a8fe-87ebf672cfac,event74,user60,add_to_basket,1,2023-11-08 10:59:15.903752
3c45bdfb-0d6e-4b29-9908-abf8b4b1f4f1,event20,user60,like,1,2023-02-20 17:34:37.431010
